Type,MapIdx,Cells,Jaccard,GT Loss,Pred Loss,Edge Jaccard,IM Similarity
6,2,100,0,-406.643712,-400.071844,0.3125,0.844038
6,3,100,0,-202.157236,-241.722036,0.142857,0.864061
6,4,100,0,-533.561054,-573.125854,0.266667,0.877152
6,5,100,0,-241.870129,-281.434929,0.214286,0.817603
6,6,100,0.333333,-351.486345,-445.286132,0.611111,0.856975
6,7,100,0,-317.829378,-360.836197,0.3125,0.801139
6,8,100,0.333333,-381.198789,-414.870785,0.631579,0.817119
6,9,100,0.333333,-423.50518,-492.608566,0.631579,0.803459
6,10,100,0,-273.936045,-314.440851,0.2,0.801878
6,11,100,0,-361.438483,-399.170701,0.076923,0.866881
