tree_index	node_name	label
0	0	{'-14', '-8', '-6', '-4', '-10', '-13'}
0	2	{'-14', '-8', '-6', '-4', '-13'}
0	3	{'-14', '-8', '-6', '-4', '-10', '-13'}
0	4	{'-14', '-8', '-6', '-4', '-13'}
0	5	{'-14', '-8', '-6', '-4', '-13'}
0	6	{'-14', '-13'}
0	7	{'-14', '-8', '-6', '-4', '-10', '-13'}
0	16	{'-14', '-8', '-6', '-4', '-13'}
0	17	{'-14', '-8', '-6', '-4', '-13'}
0	8	{'-14', '-13'}
0	9	{'-14', '-8', '-6', '-4', '-13'}
0	33	{'-14', '-13'}
0	10	{'-14', '-8', '-6', '-4', '-10', '-13'}
0	11	{'-14', '-8', '-6', '-4', '-13'}
0	28	{'-14', '-8', '-6', '-4', '-13'}
0	29	{'-14', '-8', '-6', '-4', '-13'}
0	25	{'-14', '-8', '-6', '-4', '-13'}
0	72	{'-4', '-6'}
0	243	{'-14', '-13'}
0	18	{'-4', '-6'}
0	34	{'-14', '-13'}
0	191	{'-14', '-13'}
0	23	{'-14', '-13'}
0	12	{'-14', '-8', '-6', '-4', '-13'}
0	13	{'-14', '-13'}
0	43	{'-14', '-8', '-6', '-4', '-13'}
0	44	{'-14', '-8', '-6', '-4', '-13'}
0	45	{'-4', '-6'}
0	31	{'-4', '-8', '-6'}
0	361	{'-4', '-6'}
0	54	{'-4', '-6'}
0	353	{'-14', '-13'}
0	40	{'-14', '-13'}
0	41	{'-14', '-13'}
0	15	{'-14', '-13'}
0	20	{'-14', '-13'}
0	21	{'-14', '-13'}
0	115	{'-4', '-6'}
0	36	{'-4', '-8', '-6'}
0	37	{'-4', '-8', '-6'}
0	522	{'-4', '-6'}
0	523	{'-4', '-6'}
0	92	{'-4', '-6'}
0	93	{'-4', '-6'}
0	48	{'-14', '-13'}
0	68	{'-14', '-13'}
0	39	{'-14', '-13'}
0	109	{'-14', '-13'}
0	74	{'-14', '-13'}
0	46	{'-14', '-13'}
0	47	{'-14', '-13'}
0	385	{'-4', '-6'}
0	1007	{'-4', '-6'}
0	71	{'-4', '-6'}
0	598	{'-4', '-6'}
0	743	{'-4', '-6'}
0	102	{'-4', '-6'}
0	103	{'-4', '-6'}
0	153	{'-4', '-6'}
0	56	{'-14', '-13'}
0	57	{'-14', '-13'}
0	210	{'-14', '-13'}
0	194	{'-14', '-13'}
0	128	{'-14', '-13'}
0	318	{'-14', '-13'}
0	111	{'-14', '-13'}
0	144	{'-14', '-13'}
0	94	{'-14', '-13'}
0	64	{'-14', '-13'}
0	65	{'-14', '-13'}
0	430	{'-4', '-6'}
0	1479	{'-4', '-6'}
0	112	{'-4', '-6'}
0	113	{'-4', '-6'}
0	2102	{'-4', '-6'}
0	570	{'-4', '-6'}
0	358	{'-4', '-6'}
0	143	{'-4', '-6'}
0	442	{'-4', '-6'}
0	118	{'-14', '-13'}
0	198	{'-14', '-13'}
0	261	{'-14', '-13'}
0	179	{'-14', '-13'}
0	124	{'-14', '-13'}
0	173	{'-14', '-13'}
0	268	{'-14', '-13'}
0	104	{'-14', '-13'}
0	215	{'-14', '-13'}
0	82	{'-14', '-13'}
0	83	{'-14', '-13'}
0	650	{'-4', '-6'}
0	387	{'-4', '-6'}
0	284	{'-4', '-6'}
0	285	{'-4', '-6'}
0	721	{'-4', '-6'}
0	235	{'-4', '-6'}
0	350	{'-4', '-6'}
0	587	{'-4', '-6'}
0	188	{'-14', '-13'}
0	365	{'-14', '-13'}
0	251	{'-14', '-13'}
0	505	{'-14', '-13'}
0	116	{'-14', '-13'}
0	168	{'-14', '-13'}
0	90	{'-14', '-13'}
0	91	{'-14', '-13'}
0	864	{'-4', '-6'}
0	578	{'-4', '-6'}
0	579	{'-4', '-6'}
0	886	{'-4', '-6'}
0	892	{'-4', '-6'}
0	2071	{'-4', '-6'}
0	460	{'-4', '-6'}
0	1427	{'-4', '-6'}
0	290	{'-14', '-13'}
0	218	{'-14', '-13'}
0	375	{'-14', '-13'}
0	130	{'-14', '-13'}
0	278	{'-14', '-13'}
0	778	{'-4', '-6'}
0	420	{'-14', '-13'}
0	146	{'-14', '-13'}
0	208	{'-14', '-13'}
0	187	{'-14', '-13'}
0	300	{'-14', '-13'}
0	301	{'-14', '-13'}
0	503	{'-14', '-13'}
1	0	{'-14', '-8', '-6', '-4', '-10', '-13'}
1	3	{'-14', '-8', '-6', '-4', '-13'}
1	6	{'-14', '-8', '-6', '-4', '-10', '-13'}
1	4	{'-14', '-8', '-6', '-4', '-13'}
1	9	{'-14', '-8', '-6', '-4', '-13'}
1	18	{'-14', '-13'}
1	11	{'-14', '-8', '-6', '-4', '-13'}
