type,cells,id,jaccard,best_k
type_8,cells_50,0002,0.000000,7
type_8,cells_50,0003,0.000000,7
type_8,cells_50,0004,0.000000,7
type_8,cells_50,0005,0.000000,7
type_8,cells_50,0006,0.000000,7
type_8,cells_50,0007,0.000000,7
type_8,cells_50,0008,0.000000,7
type_8,cells_50,0009,0.000000,7
type_8,cells_50,0010,0.000000,7
type_8,cells_50,0011,0.000000,7
type_8,cells_50,0017,0.000000,7
type_8,cells_50,0018,0.000000,7
type_8,cells_50,0019,0.000000,7
type_8,cells_50,0020,0.000000,7
type_8,cells_50,0021,0.000000,7
type_8,cells_50,0022,0.000000,7
type_8,cells_50,0023,0.250000,7
type_8,cells_50,0024,0.000000,7
type_8,cells_50,0025,0.000000,7
type_8,cells_50,0026,0.000000,7
type_8,cells_100,0002,0.000000,7
type_8,cells_100,0003,0.000000,7
type_8,cells_100,0004,0.000000,7
type_8,cells_100,0005,0.000000,7
type_8,cells_100,0006,0.000000,7
type_8,cells_100,0007,0.000000,7
type_8,cells_100,0008,0.000000,7
type_8,cells_100,0009,0.000000,7
type_8,cells_100,0010,0.000000,7
type_8,cells_100,0011,0.000000,7
type_8,cells_100,0017,0.000000,7
type_8,cells_100,0018,0.000000,7
type_8,cells_100,0019,0.000000,7
type_8,cells_100,0020,0.000000,7
type_8,cells_100,0021,0.000000,7
type_8,cells_100,0022,0.000000,7
type_8,cells_100,0023,0.250000,7
type_8,cells_100,0024,0.000000,7
type_8,cells_100,0025,0.000000,7
type_8,cells_100,0026,0.000000,7
