type,cells,id,jaccard_sets,edge_jaccard,im_distance,im_similarity,best_k
type_6,cells_50,0002,0.333333,0.500000,1.434333,0.681430,5
type_6,cells_50,0003,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_50,0004,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_50,0005,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_50,0006,0.333333,0.714286,1.206613,0.732007,5
type_6,cells_100,0002,0.000000,0.200000,1.721200,0.601613,5
type_6,cells_100,0003,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_100,0004,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_100,0005,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_100,0006,0.000000,0.200000,1.447936,0.664863,5
type_6,cells_200,0002,0.000000,0.200000,1.447936,0.664863,5
type_6,cells_200,0003,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_200,0004,0.333333,0.400000,1.332009,0.704157,5
type_6,cells_200,0005,0.000000,0.000000,0.000000,1.000000,5
type_6,cells_200,0006,0.000000,0.000000,0.000000,1.000000,5
type_10,cells_50,0002,0.800000,1.000000,0.832790,0.834211,9
type_10,cells_50,0003,0.200000,0.416667,1.257951,0.741526,9
type_10,cells_50,0004,0.200000,0.500000,1.012702,0.791917,9
type_10,cells_50,0005,0.363636,0.750000,0.735386,0.848898,9
type_10,cells_50,0006,0.200000,0.363636,0.985184,0.797572,9
type_10,cells_100,0002,0.615385,0.714286,0.823104,0.833986,9
type_10,cells_100,0003,0.500000,0.857143,0.857042,0.825683,9
type_10,cells_100,0004,0.666667,0.933333,1.010454,0.796198,9
type_10,cells_100,0005,0.454545,0.857143,0.913747,0.814149,9
type_10,cells_100,0006,0.583333,0.800000,0.908790,0.816703,9
type_10,cells_200,0002,0.800000,1.000000,0.519378,0.896604,9
type_10,cells_200,0003,0.615385,0.941176,1.000650,0.799594,9
type_10,cells_200,0004,0.714286,1.000000,0.812553,0.837265,9
type_10,cells_200,0005,0.692308,1.000000,1.250250,0.747833,9
type_10,cells_200,0006,0.800000,0.937500,0.769102,0.846889,9
type_14,cells_50,0002,0.900000,0.941176,1.188481,0.768801,13
type_14,cells_50,0003,0.866667,0.923077,2.552866,0.491783,13
type_14,cells_50,0004,0.812500,0.944444,1.675143,0.669732,13
type_14,cells_50,0005,0.954545,1.000000,0.792495,0.846224,13
type_14,cells_50,0006,0.857143,1.000000,0.757374,0.852666,13
type_14,cells_100,0002,0.857143,0.923077,2.557495,0.490862,13
type_14,cells_100,0003,0.769231,1.000000,2.749241,0.449393,13
type_14,cells_100,0004,0.875000,1.000000,2.872102,0.428231,13
type_14,cells_100,0005,0.933333,1.000000,2.385378,0.527578,13
type_14,cells_100,0006,0.705882,0.952381,1.113205,0.781390,13
type_14,cells_200,0002,ERROR,ERROR,ERROR,ERROR,
type_14,cells_200,0003,0.857143,0.923077,2.552866,0.491783,13
type_14,cells_200,0004,ERROR,ERROR,ERROR,ERROR,
type_14,cells_200,0005,0.933333,1.000000,2.385378,0.527578,13
type_14,cells_200,0006,0.944444,1.000000,1.747061,0.656914,13
