type,cells,id,jaccard_sets,edge_jaccard,im_distance,im_similarity,best_k
type_14,cells_50,0002,0.437500,0.736842,0.655984,0.870667,13
type_14,cells_50,0003,0.588235,0.823529,0.950388,0.812623,13
type_14,cells_50,0004,0.470588,0.809524,0.659559,0.870476,13
type_14,cells_50,0005,0.631579,0.920000,0.598519,0.883241,13
type_14,cells_50,0006,0.529412,0.789474,0.699617,0.862610,13
type_14,cells_50,0007,0.625000,0.812500,1.287200,0.746218,13
type_14,cells_50,0008,0.684211,0.913043,0.448218,0.912562,13
type_14,cells_50,0009,0.611111,0.850000,0.677262,0.867000,13
type_14,cells_50,0010,0.611111,0.909091,0.495215,0.903091,13
type_14,cells_50,0011,0.611111,0.809524,0.682275,0.866485,13
type_14,cells_50,0017,0.800000,1.000000,0.802662,0.843417,13
type_14,cells_50,0018,0.631579,0.923077,0.594715,0.883983,13
type_14,cells_50,0019,0.437500,0.727273,0.888232,0.824878,13
type_14,cells_50,0020,0.400000,0.588235,0.771428,0.847219,13
type_14,cells_50,0021,0.529412,0.842105,0.701186,0.862302,13
type_14,cells_50,0022,0.611111,0.850000,0.504883,0.901199,13
type_14,cells_50,0023,0.375000,0.619048,0.917446,0.819118,13
type_14,cells_50,0024,0.809524,1.000000,0.785893,0.847118,13
type_14,cells_50,0025,0.470588,0.727273,1.023827,0.798942,13
type_14,cells_50,0026,0.588235,0.869565,0.805278,0.841860,13
type_14,cells_100,0002,0.375000,0.529412,0.472990,0.906746,13
type_14,cells_100,0003,0.529412,0.850000,0.419702,0.917579,13
type_14,cells_100,0004,0.611111,0.863636,0.775368,0.847734,13
type_14,cells_100,0005,0.611111,0.904762,0.722979,0.858519,13
type_14,cells_100,0006,0.400000,0.533333,0.824179,0.836772,13
type_14,cells_100,0007,0.684211,0.904762,0.659492,0.871346,13
type_14,cells_100,0008,0.529412,0.863636,0.627939,0.876686,13
type_14,cells_100,0009,0.631579,0.869565,0.655140,0.872195,13
type_14,cells_100,0010,0.611111,0.909091,0.702688,0.862007,13
