tree_index	node_name	label
0	0	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
1	0	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
2	0	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
3	0	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
4	0	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
0	10	{'-16', '-14', '-15'}
1	10	{'-3', '-8', '-6', '-7', '-1', '-4', '-2'}
2	10	{'-16', '-14', '-2', '-15'}
3	10	{'-3', '-15', '-8', '-16', '-6', '-14', '-1', '-7', '-4', '-2'}
4	10	{'-16', '-14', '-2', '-15'}
1	100	{'-6', '-3'}
2	100	{'-6', '-7', '-3'}
1	101	{'-6', '-3'}
2	101	{'-6', '-3'}
1	1011	{'-6', '-3'}
0	102	{'-16', '-14', '-15'}
2	102	{'-6', '-3'}
3	102	{'-16', '-14', '-15'}
2	1026	{'-6', '-3'}
1	103	{'-16', '-14', '-15'}
3	103	{'-16', '-14', '-15'}
2	1034	{'-6', '-3'}
3	1036	{'-6', '-3'}
2	1037	{'-6', '-3'}
3	1037	{'-6', '-3'}
0	104	{'-16', '-14', '-15'}
0	105	{'-16', '-14', '-15'}
2	105	{'-6', '-3'}
1	1051	{'-6', '-3'}
0	106	{'-2', '-1', '-3', '-4'}
1	107	{'-16', '-14', '-15'}
4	107	{'-16', '-14', '-15'}
4	1074	{'-6', '-3'}
0	108	{'-16', '-14', '-15'}
0	109	{'-16', '-14', '-15'}
2	109	{'-16', '-14', '-15'}
4	109	{'-16', '-14', '-15'}
3	1090	{'-6', '-3'}
0	1096	{'-6', '-3'}
1	11	{'-3', '-8', '-6', '-7', '-1', '-4', '-2'}
3	11	{'-16', '-14', '-2', '-15'}
4	11	{'-3', '-8', '-6', '-7', '-1', '-4', '-2'}
3	110	{'-6', '-8', '-7', '-3'}
4	110	{'-6', '-8', '-7', '-3'}
2	1101	{'-6', '-3'}
0	111	{'-2', '-1', '-3', '-4'}
3	1112	{'-16', '-14', '-15'}
0	1114	{'-6', '-3'}
0	1118	{'-6', '-3'}
0	112	{'-6', '-7', '-3'}
2	113	{'-16', '-14', '-15'}
2	1131	{'-6', '-3'}
0	1134	{'-6', '-3'}
1	114	{'-6', '-7', '-3'}
2	114	{'-6', '-7', '-3'}
3	114	{'-16', '-14', '-15'}
4	114	{'-16', '-14', '-15'}
3	1148	{'-6', '-3'}
3	1149	{'-6', '-3'}
0	115	{'-6', '-8', '-7', '-3'}
4	1152	{'-6', '-3'}
1	1154	{'-6', '-3'}
4	1159	{'-6', '-3'}
1	117	{'-7', '-8'}
1	1176	{'-6', '-3'}
0	118	{'-2', '-1', '-3', '-4'}
4	118	{'-6', '-8', '-7', '-3'}
3	1181	{'-6', '-3'}
0	119	{'-2', '-1', '-3', '-4'}
4	119	{'-6', '-8', '-7', '-3'}
3	1192	{'-6', '-3'}
0	12	{'-3', '-8', '-6', '-7', '-1', '-4', '-2'}
2	12	{'-16', '-14', '-2', '-15'}
3	12	{'-3', '-8', '-6', '-7', '-1', '-4', '-2'}
0	1200	{'-6', '-3'}
0	121	{'-7', '-8'}
3	121	{'-16', '-14', '-15'}
3	122	{'-2', '-1', '-3', '-4'}
3	123	{'-2', '-1', '-3', '-4'}
2	1231	{'-6', '-3'}
0	124	{'-6', '-8', '-7', '-3'}
2	124	{'-6', '-8', '-7', '-3'}
0	125	{'-6', '-8', '-7', '-3'}
3	125	{'-16', '-14', '-15'}
4	127	{'-6', '-7', '-3'}
1	128	{'-16', '-14', '-15'}
3	128	{'-7', '-8'}
