Folder,Jaccard Distance,Ground Truth Loss,Predicted Map Loss
0002,0.33333333333333337,-432.0657083961628,-402.837617878835
0003,0.0,-311.54909511699964,-349.72760030160737
0004,0.33333333333333337,-492.8659016311557,-843.4826019365578
0005,0.0,-257.9709337508242,-293.37685021319214
0006,0.0,-332.18857248702363,-378.90798738966487
0007,0.0,-208.84745785599213,-247.69539369454247
0008,0.33333333333333337,-303.508240565876,-341.8802853227514
0009,0.33333333333333337,-422.73693142075024,-465.0417106266049
0010,0.0,-232.52605809113754,-271.6445705342367
0011,0.0,-236.2418755596634,-273.9740936416427
